0.7,334(0.6398467432950191),799(0.6113236419280795)
0.71,296(0.5670498084291188),742(0.5677123182861515)
0.72,330(0.632183908045977),726(0.5554705432287682)
0.73,329(0.6302681992337165),738(0.5646518745218057)
0.74,357(0.6839080459770115),693(0.5302218821729151)
0.75,361(0.6915708812260536),683(0.5225707727620506)
0.76,365(0.6992337164750958),672(0.5141545524100994)
0.77,365(0.6992337164750958),655(0.5011476664116297)
0.78,413(0.7911877394636015),568(0.4345830145371079)
0.79,420(0.8045977011494253),519(0.39709257842387147)
0.8,391(0.7490421455938697),634(0.48508033664881406)
0.81,391(0.7490421455938697),641(0.4904361132364193)
0.8200000000000001,394(0.7547892720306514),611(0.46748278500382556)
0.8300000000000001,401(0.7681992337164751),566(0.43305279265493496)
0.8400000000000001,398(0.7624521072796935),571(0.43687834736036724)
0.8500000000000001,409(0.7835249042145593),521(0.39862280030604436)
0.8600000000000001,418(0.8007662835249042),572(0.43764345830145374)
0.8700000000000001,428(0.8199233716475096),529(0.404743687834736)
0.8800000000000001,434(0.8314176245210728),498(0.38102524866105586)
0.8900000000000001,446(0.8544061302681992),459(0.35118592195868403)
0.9000000000000001,471(0.9022988505747126),451(0.34506503442999237)
0.9100000000000001,475(0.9099616858237548),424(0.324407039020658)
0.9200000000000002,476(0.9118773946360154),448(0.342769701606733)
0.9300000000000002,472(0.9042145593869731),417(0.3190512624330528)
0.9400000000000002,484(0.9272030651340997),312(0.23871461361897475)
0.9500000000000002,487(0.9329501915708812),311(0.23794950267788828)
0.9600000000000002,495(0.9482758620689655),260(0.19892884468247896)
0.9700000000000002,495(0.9482758620689655),225(0.17214996174445293)
0.9800000000000002,495(0.9482758620689655),234(0.17903596021423107)
0.9900000000000002,505(0.9674329501915708),186(0.1423106350420811)
1.0000000000000002,339(0.6494252873563219),596(0.4560061208875287)